Tarih;Stok Kodu;Urun Adi;Eski Stok;Yeni Stok
2026-09-09 05:10;KU91011;M3*8*4 TORX VİDA ERİC;2200;2150
2026-09-09 05:10;KU91013;M3*9*4 TORX VİDA ERİC;4700;4680
2026-09-09 05:10;KU91017;M3,5*10*5,3 TORX VİDA ERİC;8700;8680
2026-09-09 05:10;KU91018;M3,5*11*4,8 TORX VİDA ERİC;4270;4220
2026-09-09 05:10;KU91015;M3,5*8*4,8 TORX VİDA ERİC;6840;6790
2026-09-09 05:10;KU90040;DCMT 11 TEKNİK - MBC ALTLIK ERİC ;1890;1880
2026-09-09 05:10;KU84006;DNMG 150608 CBN ERİC;158;156
2026-09-09 05:10;KU84007;VBMT 160404 CBN ERİC;84;82
2026-09-09 05:10;KU84008;VBMT 160408 CBN ERİC;150;140
2026-09-09 05:10;KU75108;22 ER TR 5,00 TAL3007 ERİC;470;460
2026-09-09 05:10;KU75109;22 ER TR 6,00 TAL3007 ERİC;340;310
2026-09-09 05:10;KU79105;16 ER 19 W TAL3007 ERİC;650;640
2026-09-09 05:10;KU79107;16 ER AG 55 W TAL3007 ERİC;1280;1270
2026-09-09 05:10;KU79112;16 IR 19 W TAL3007 ERİC;170;160
2026-09-09 05:10;KU79114;16 IR AG 55 W TAL3007 ERİC;590;580
2026-09-09 05:10;KU78101;11 IR AG60 İSO TAL3007 ERİC;760;710
2026-09-09 05:10;KU77108;16 ER 0,50 İSO TAL3007 ERİC;1490;1480
2026-09-09 05:10;KU77110;16 ER 1,00 İSO TAL3007 ERİC;2060;2050
2026-09-09 05:10;KU77112;16 ER 1,50 İSO TAL3007 ERİC;590;480
2026-09-09 05:10;KU77117;16 ER AG60 İSO TAL3007 ERİC;2680;2670
2026-09-09 05:10;KU78117;16 IR AG60 İSO TAL3007 ERİC;310;300
2026-09-09 05:10;KU70119;4NKT 060308 TAL3007 ERİC;3300;900
2026-09-09 05:10;KU74109;MRMN 400-M TAL3007 ERİC;930;910
2026-09-09 05:10;KU76101;16 ER/IL 1,00 TAL3007 ERİC;1590;1580
2026-09-09 05:10;KU76103;16 ER/IL 1,20 TAL3007 ERİC;410;390
2026-09-09 05:10;KU76106;16 ER/IL 1,50 TAL3007 ERİC;630;600
2026-09-09 05:10;KU76112;16 IR/EL 1,00 TAL3007 ERİC;940;930
2026-09-09 05:10;KU76114;16 IR/EL 1,20 TAL3007 ERİC;510;500
2026-09-09 05:10;KU76117;16 IR/EL 1,50 TAL3007 ERİC;490;470
2026-09-09 05:10;KU76122;16 IR/EL 2,00 TAL3007 ERİC;690;670
2026-09-09 05:10;KU85006;VBMT 160408 PCD ERİC;34;24
2026-09-09 05:10;KU71126;DCMT 11T304 TAL3007 ERİC;2770;2760
2026-09-09 05:10;KU71104;DNMG 150608 TAL3007 ERİC;1560;1550
2026-09-09 05:10;KU71100R;KNUX 160405R11 TAL3007 ERİC;1540;1530
2026-09-09 05:10;KU71128;VBMT 160404 TAL3007 ERİC;70;60
