Stok Kodu;Urun Adi;Marka;Kategori Yolu;Stok Adedi;Fiyat;Para Birimi;Fiyat (TL);KDV %;Gorsel;Kaynak Gorsel;Urun Linki
KU91001;M1,8*4,2*2,4 Torx Vida ERİC;ERİC;ELMAS UÇLAR>ALTLIK VE VİDALAR>Altlık Vidaları;870;0.23;USD;11.09;20;https://raw.githubusercontent.com/dumanonur42-rgb/ticimax-stok/main/gorseller/M1%2C84%2C22%2C4%20Torx%20Vida%20ER%C4%B0C%20-%20KU91001.jpg?v=2;https://s3-eu-west-1.amazonaws.com/dia-fs/talhateknik/Resimler/963746.jpg;https://talhateknik.diaeticaret.com/m1-8-4-2-2-4-torx-vida-eric-p6497
KU91002;M2*4*2,85 Torx Vida ERİC;ERİC;ELMAS UÇLAR>ALTLIK VE VİDALAR>Altlık Vidaları;3960;0.23;USD;11.09;20;https://raw.githubusercontent.com/dumanonur42-rgb/ticimax-stok/main/gorseller/M242%2C85%20Torx%20Vida%20ER%C4%B0C%20-%20KU91002.jpg?v=2;https://s3-eu-west-1.amazonaws.com/dia-fs/talhateknik/Resimler/963749.jpg;https://talhateknik.diaeticaret.com/m2-4-2-85-torx-vida-eric-p6498
KU91003;M2*5*2,85 Torx Vida ERİC;ERİC;ELMAS UÇLAR>ALTLIK VE VİDALAR>Altlık Vidaları;1880;0.23;USD;11.09;20;https://raw.githubusercontent.com/dumanonur42-rgb/ticimax-stok/main/gorseller/M252%2C85%20Torx%20Vida%20ER%C4%B0C%20-%20KU91003.jpg?v=2;https://s3-eu-west-1.amazonaws.com/dia-fs/talhateknik/Resimler/963752.jpg;https://talhateknik.diaeticaret.com/m2-5-2-85-torx-vida-eric-p6499
KU91004;M2,2*5*3 Torx Vida ERİC;ERİC;ELMAS UÇLAR>ALTLIK VE VİDALAR>Altlık Vidaları;3490;0.23;USD;11.09;20;https://raw.githubusercontent.com/dumanonur42-rgb/ticimax-stok/main/gorseller/M2%2C253%20Torx%20Vida%20ER%C4%B0C%20-%20KU91004.jpg?v=2;https://s3-eu-west-1.amazonaws.com/dia-fs/talhateknik/Resimler/963755.jpg;https://talhateknik.diaeticaret.com/m2-2-5-3-torx-vida-eric-p6500
KU91005;M2,2*6*3 Torx Vida ERİC;ERİC;ELMAS UÇLAR>ALTLIK VE VİDALAR>Altlık Vidaları;3250;0.23;USD;11.09;20;https://raw.githubusercontent.com/dumanonur42-rgb/ticimax-stok/main/gorseller/M2%2C263%20Torx%20Vida%20ER%C4%B0C%20-%20KU91005.jpg?v=2;https://s3-eu-west-1.amazonaws.com/dia-fs/talhateknik/Resimler/963758.jpg;https://talhateknik.diaeticaret.com/m2-2-6-3-torx-vida-eric-p6501
KU91009;M2,5*10*3,5 Torx Vida ERİC;ERİC;ELMAS UÇLAR>ALTLIK VE VİDALAR>Altlık Vidaları;125;0.23;USD;11.09;20;https://raw.githubusercontent.com/dumanonur42-rgb/ticimax-stok/main/gorseller/M2%2C5103%2C5%20Torx%20Vida%20ER%C4%B0C%20-%20KU91009.jpg?v=2;https://s3-eu-west-1.amazonaws.com/dia-fs/talhateknik/Resimler/963770.jpg;https://talhateknik.diaeticaret.com/m2-5-10-3-5-torx-vida-eric-p6505
KU91006;M2,5*5*3,5 Torx Vida ERİC;ERİC;ELMAS UÇLAR>ALTLIK VE VİDALAR>Altlık Vidaları;4740;0.23;USD;11.09;20;https://raw.githubusercontent.com/dumanonur42-rgb/ticimax-stok/main/gorseller/M2%2C553%2C5%20Torx%20Vida%20ER%C4%B0C%20-%20KU91006.jpg?v=2;https://s3-eu-west-1.amazonaws.com/dia-fs/talhateknik/Resimler/963761.jpg;https://talhateknik.diaeticaret.com/m2-5-5-3-5-torx-vida-eric-p6502
KU91007;M2,5*6*3,5 Torx Vida ERİC;ERİC;ELMAS UÇLAR>ALTLIK VE VİDALAR>Altlık Vidaları;0;0.23;USD;11.09;20;https://raw.githubusercontent.com/dumanonur42-rgb/ticimax-stok/main/gorseller/M2%2C563%2C5%20Torx%20Vida%20ER%C4%B0C%20-%20KU91007.jpg?v=2;https://s3-eu-west-1.amazonaws.com/dia-fs/talhateknik/Resimler/963764.jpg;https://talhateknik.diaeticaret.com/m2-5-6-3-5-torx-vida-eric-p6503
KU91008;M2,5*7*3,5 Torx Vida ERİC;ERİC;ELMAS UÇLAR>ALTLIK VE VİDALAR>Altlık Vidaları;1400;0.23;USD;11.09;20;https://raw.githubusercontent.com/dumanonur42-rgb/ticimax-stok/main/gorseller/M2%2C573%2C5%20Torx%20Vida%20ER%C4%B0C%20-%20KU91008.jpg?v=2;https://s3-eu-west-1.amazonaws.com/dia-fs/talhateknik/Resimler/963767.jpg;https://talhateknik.diaeticaret.com/m2-5-7-3-5-torx-vida-eric-p6504
KU91014;M3*10*4 Torx Vida ERİC;ERİC;ELMAS UÇLAR>ALTLIK VE VİDALAR>Altlık Vidaları;4340;0.23;USD;11.09;20;https://raw.githubusercontent.com/dumanonur42-rgb/ticimax-stok/main/gorseller/M3104%20Torx%20Vida%20ER%C4%B0C%20-%20KU91014.jpg?v=2;https://s3-eu-west-1.amazonaws.com/dia-fs/talhateknik/Resimler/963785.jpg;https://talhateknik.diaeticaret.com/m3-10-4-torx-vida-eric-p6510
